Reporting ID,Data Year,MapLot,Annual Report Received,BEUDO Category,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Latitude,Longitude,Location
B1390,2022,48-159,Yes,Non-Residential,510771,0.0,292  MAIN ST,1968.0,"674-5, 674-10",2,College/University,College/University (66531.0),66531.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,-0.41687558086767135,1913480.3,,,,,,,,,12229128.1,6568194.0,,20710802.4,19647946.0,311.3,295.3,24388058.7,23420859.4,366.6,352.0,0.14149086250915574,18.3,,,42.3614799440054,-71.0857762806892,POINT (-71.0857762806892 42.3614799440054)
B1575,2022,52A-21,Yes,Non-Residential,3691096,0.0,160  MEMORIAL DR,1951.0,668-14,1,College/University,College/University (154516.0),154516.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,-0.26811015230511026,3393121.4,,,,,,,,,5697431.8,11634335.9,,20724889.1,20592453.1,134.1,133.3,28681987.0,28676272.7,185.6,185.6,0.19281518424504035,8.5,-0.14344194609585745,11.84,42.3591783355121,-71.0893043543193,POINT (-71.0893043543193 42.3591783355121)
B1264,2022,144-1,Yes,Non-Residential,2402868,15.0,24 Oxford St,1931.0,241-21,1,Laboratory,Laboratory (219498.0),219498.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,1.5467172717144828,21443642.9,-0.27195055201786433,5617.0,,,,,,,20244281.6,10493609.7,,52187151.2,51809587.5,237.8,236.0,91094638.0,90969467.8,415.0,414.4,1.2352280322024247,15.0,-0.0009379165821247828,13.7,42.3787827063636,-71.1136521107175,POINT (-71.1136521107175 42.3787827063636)
B1589,2022,14-45,Yes,Non-Residential,280848,2.0,650 E Kendall Street,2009.0,620-88,1,Office,"Office (328136.0),Parking (278000.0)",328136.0,,"BMR KENDALL DEVELOPMENT, LLC",C/O RYAN LLC,43.0,1.1644108609794848,17641171.2,-0.26707050661658577,121000.0,,,,,,,,24140833.1,,41903004.3,42449796.4,127.7,129.4,78564743.7,78510659.1,239.4,239.3,1.010829631705634,8.7,0.4633103724858366,20.86,42.3644700507158,-71.080631213876,POINT (-71.080631213876 42.3644700507158)
B1760,2022,92-130,Yes,Residential,103484,83.0,84 Auburn St,1990.0,665-7,1,Multifamily Housing,Multifamily Housing (15441.0),15441.0,14.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,-0.5780208846070374,310707.0,-0.24438408997299252,657383.2,,,,,,,,,,968090.2,1003703.1,62.7,65.0,1560231.9,1597625.5,101.0,103.5,-0.4719141497425044,3.7,-0.2403645304895909,66.64,42.3619685372833,-71.103050181673,POINT (-71.103050181673 42.3619685372833)
B1697,2022,30-41,Yes,Non-Residential,173400,1.0,300 Binney Street,2013.0,591-23,1,Office,Office (204215.0),204215.0,,BP SEVENTEEN CAMBRIDGE CENTER LLC.,"C/O BOSTON PROPERTIES, INC.",80.0,0.022941252029686963,6287958.6,,,,,,,,,,8079373.2,,14367331.8,14387182.6,70.4,70.5,27326102.0,27075402.6,133.8,132.6,0.022439600750660503,4.9,-0.20458424558918267,6.49,42.3660092596514,-71.0879953112854,POINT (-71.0879953112854 42.3660092596514)
B1317,2022,16-34,Yes,Residential,135900,136.0,50 Rogers St,2019.0,600-3,1,Multifamily Housing,"Multifamily Housing (105566.0),Parking (0.0)",105566.0,136.0,AIMCO 50 ROGERS STREET LLC,,12.0,-0.19488316610639078,4121447.2,-0.08317933141489693,4468781.0,,,,,,,,,,8590228.1,8922135.4,81.4,84.5,16232272.0,16580774.7,153.8,157.1,-0.21873179973610454,5.1,0.06238241851555403,33.45,42.3656322405246,-71.0788094305057,POINT (-71.0788094305057 42.3656322405246)
B1319,2022,41-38,Yes,Non-Residential,240964,,One Kendall Square,1988.0,557-6,1,Office,"Office (14572.0),Other - Restaurant/Bar (12123.0)",26695.0,,ARE-MA REGION NO. 59 LLC,,,-0.35804329256683304,2498634.1,-0.20232806341460013,1651718.3,,,,,,,,,,4150352.3,4222063.2,155.5,158.2,8730479.6,8805776.0,327.0,329.9,-0.36000596368951887,10.1,-0.21817276772078847,45.41,42.3663937634796,-71.0914361587548,POINT (-71.0914361587548 42.3663937634796)
B1470,2022,52A-21,Yes,Non-Residential,3691096,0.0,21  AMES ST,1965.0,668-56,1,College/University,College/University (143682.0),143682.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,0.6307117213952201,12332926.6,-0.2718414298378045,8200.0,,,,,,,18270073.9,38234267.8,,68845468.2,69391029.8,479.2,482.9,97163967.0,98281642.1,676.2,684.0,1.813288047629785,30.5,-0.14146961385413728,12.85,42.3606996030097,-71.0898606876886,POINT (-71.0898606876886 42.3606996030097)
B1351,2022,9-61,Yes,Non-Residential,152877,236.0,25 Edwin H Land Blvd.,2003.0,468-10,1,Hotel,"Hotel (153627.0),Parking (1492.0)",153627.0,,"CAMBRIDGE, LLC","C/O JUNSON CAPITAL, UNITS 5211-12, 52/F",40.0,0.18406322851775758,7890499.6,0.22371284251511747,11724700.1,,,,,,,,,,19615199.8,20090460.4,127.7,130.8,34404334.1,34776181.2,223.9,226.4,0.12942700131762824,7.8,0.25985764664361016,33.61,42.3679473831175,-71.0751292649638,POINT (-71.0751292649638 42.3679473831175)
B1556,2022,33-88,Yes,Non-Residential,30520,1.0,89 Fulkerson Street,1940.0,467-7,1,Data Center,Data Center (30520.0),30520.0,,"LAVERTY, CHARLES R., JR. & PAUL LOHNES,",TRS. OF THE PAY PHONE REALTY TRUST,,0.46674313415348617,10702072.7,,,,,,,,,,,,10702072.7,10702072.7,350.7,350.7,29965803.6,29965803.6,981.8,981.8,-0.10079168308735527,24.8,-0.36107610376198596,1.03,42.3695080581725,-71.0878876767907,POINT (-71.0878876767907 42.3695080581725)
B1154,2022,227-90,Yes,Non-Residential,177958,2.0,60 Garden St,1960.0,"201-12, 201-13, 201-15, 201-17, 201-18",5,College/University,College/University (80995.0),80995.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.21499208003776438,3921441.1,0.03841153805637693,7343577.4,,,,,,,,,,11265018.5,11693408.9,139.1,144.4,18690791.4,19140601.3,230.8,236.3,-0.148623834478324,8.2,-0.22928074930299167,13.84,42.3815430445496,-71.1278886121175,POINT (-71.1278886121175 42.3815430445496)
B1205,2022,159-1,Yes,Non-Residential,1223988,1027.0,N/A Harvard Yard,1973.0,318-8,1,College/University,College/University (92625.0),92625.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.3205158171788513,2871887.5,,,,,,,,,1507669.5,0.0,,4379557.0,4295325.1,47.3,46.4,9413264.3,9336613.2,101.6,100.8,-0.35233377126508253,3.1,-0.33411686305920973,2.74,42.3731185822052,-71.1155641964063,POINT (-71.1155641964063 42.3731185822052)
B1106,2022,133-33,Yes,Non-Residential,60054,3.0,1100 Massachusetts Avenue,1978.0,439-14,1,Office,"Office (44663.0),Parking (5499.0),Other (4645.0)",49308.0,,SUN LIFE ASSURANCE CO OF CANADA,C/O BENTALL KENNEDY (US) LP,48.0,-0.4643420433274278,1441372.1,-0.2036104605073958,1621399.9,,,,,,,,,,3062772.1,3233850.7,62.1,65.6,5738311.9,5859636.4,116.4,118.8,-0.4024411245474358,3.8,-0.34469243593812643,3.38,42.3703967979961,-71.1137063794924,POINT (-71.1137063794924 42.3703967979961)
B1903,2022,91-207,Yes,Residential,214398,225.0,425 Massachusetts Avenue,2020.0,"623-9, 632-10",2,Multifamily Housing,Multifamily Housing (223523.0),223523.0,285.0,"WATERMARK CENTRAL LLC,",,100.0,-0.25856896347748454,3488019.6,-0.1468415496251279,2963599.9,,,,,,,,,,6451619.5,6740855.3,28.9,30.2,12878234.8,13313660.6,57.6,59.6,-0.2852946829770765,1.8,-0.12381542526107146,8.91,42.3638469564058,-71.1004361412838,POINT (-71.1004361412838 42.3638469564058)
B1487,2022,52A-21,Yes,Non-Residential,3691096,0.0,182  MEMORIAL DR,1916.0,668-2,1,College/University,College/University (121650.0),121650.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1.1615321409505088,17612539.0,,,,,,,,,11116655.7,15664086.2,,44393280.9,44154996.1,364.9,363.0,78275805.2,78221935.7,643.5,643.0,1.0185547358019633,23.6,-0.15827678860106556,14.04,42.3588136201429,-71.0901806640038,POINT (-71.0901806640038 42.3588136201429)
B1027,2022,126-174,Yes,Municipal,10173,1.0,12 Gilmore Street,1924.0,630-34,1,Other - Recreation,Other - Recreation (10537.0),10537.0,,CAMBRIDGE CITY OF,,,-0.5989455319333419,102587.5,-0.2583936014850873,326152.9,,,,,,,,,,428740.4,458000.4,40.7,43.5,629705.5,655997.3,59.8,62.3,-0.4889517080919423,2.3,,,42.3640274931656,-71.1112414446206,POINT (-71.1112414446206 42.3640274931656)
B1600,2022,70-22,Yes,Non-Residential,57000,1.0,730 Main Street,1910.0,655-2,1,Office,Office (38000.0),38000.0,,MIT 730 MAIN ST FEE OWNER LLC,,,-0.5568052641256044,521720.5,,,,,,,,,,,,521720.5,521720.5,13.7,13.7,1460817.4,1460817.4,38.4,38.4,-0.48207319074589594,1.0,-0.3401669619601918,5.37,42.36287574688,-71.0955675382426,POINT (-71.0955675382426 42.36287574688)
B1737,2022,81-105,Yes,Residential,109656,112.0,14 Roosevelt Towers,1950.0,"354-4, 354-5, 354-6, 354-7",4,Multifamily Housing,Multifamily Housing (134884.0),134884.0,112.0,CAMBRIDGE HOUSING AUTHORITY,,99.0,-0.4074654363046756,2007074.9,-0.1354725410979683,3232400.0,,,,,,,,,,5239474.9,5239474.9,38.8,38.8,9013829.8,9013829.8,66.8,66.8,-0.3359311529783565,2.3,0.27751183523667594,39.36,42.3732041106239,-71.0923864547531,POINT (-71.0923864547531 42.3732041106239)
B1072,2022,67-66,Yes,Non-Residential,44988,1.0,269 Albany Street,1950.0,714-4,1,Laboratory,Laboratory (39120.0),39120.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,-0.1257477111753192,4809077.8,-0.12489826348682556,3482414.8,,,,,,,,,,8291492.7,8291492.7,212.0,212.0,17121953.5,17121953.5,437.7,437.7,-0.22016041487720645,13.6,-0.3449465400919677,4.21,42.3579667778473,-71.1028547989369,POINT (-71.1028547989369 42.3579667778473)
B1296,2022,161-58,Yes,Non-Residential,461676,,101 Dunster St,1931.0,"437-2, 437-12, 437-13",3,Residence Hall/Dormitory,Residence Hall/Dormitory (218775.0),218775.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.2136717233096643,3934573.4,-0.22825430912508485,1038745.0,,,,,,,,10687980.2,,15661298.5,16380027.8,71.6,74.9,24965567.1,25830227.9,114.1,118.1,0.05016531682241665,4.8,0.24515590631422365,23.04,42.3704737327172,-71.1202599038539,POINT (-71.1202599038539 42.3704737327172)
B1611,2022,95-79,Yes,Non-Residential,25182,1.0,116 Brookline St,1921.0,"694-1, 694-2",2,Office,Office (25182.0),25182.0,,"LEDGEMOOR, LLC",,73.0,-0.5300473974794196,787857.9,-0.2499205602713749,526480.7,,,,,,,,,,1314338.5,1386189.8,52.2,55.0,2758806.8,2834250.6,109.6,112.6,-0.45768091000337763,3.3,-0.3584624610367617,2.11,42.3608983142428,-71.1039011364785,POINT (-71.1039011364785 42.3608983142428)
B1042,2022,92-57,Yes,Municipal,10553,1.0,378 Massachusetts Avenue,1893.0,644-7,1,Fire Station,Fire Station (19080.0),19080.0,,CAMBRIDGE CITY OF,FIRE DEPT,,-0.584730968442155,243967.5,-0.25186488066569607,480513.6,,,,,,,,,,724481.1,775302.4,38.0,40.6,1187648.2,1236310.6,62.2,64.8,-0.4791630487917994,2.3,-0.34522484464141284,8.51,42.3629709003464,-71.1001666332726,POINT (-71.1001666332726 42.3629709003464)
B1572,2022,58-95,Yes,Residential,100796,120.0,320  MEMORIAL DR,1963.0,728-3,1,College/University,College/University (138589.0),138589.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,-0.2423599543053235,3649236.6,,,,,,,,,,8395014.1,,12044250.8,12044250.8,86.9,86.9,20317409.5,20317409.5,146.6,146.6,-0.0702616484052878,5.9,0.36829961934481353,43.72,42.3571815110219,-71.094420934122,POINT (-71.094420934122 42.3571815110219)
B1409,2022,57-169,Yes,Non-Residential,185430,,84  MASSACHUSETTS AVE,1965.0,708-18,1,College/University,College/University (183162.0),183162.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,0.29744529913419604,9018213.2,-0.25126047913350447,494800.0,,,,,,,9695400.1,13042061.7,,32250474.9,31973960.2,176.1,174.6,50283487.1,50217113.6,274.5,274.2,0.5785412723425649,11.1,-0.11297364803051149,11.37,42.3590406766834,-71.0947738419229,POINT (-71.0947738419229 42.3590406766834)
B1882,2022,241-10,Yes,Residential,110299,80.0,1010 Memorial Drive,1963.0,330-6,1,Multifamily Housing,"Multifamily Housing (158508.0),Parking (27001.0)",158508.0,83.0,1010 MEMORIAL DRIVE TENANTS CORPORATION,,97.0,-0.3499150490720813,2579478.7,-0.03713569278827312,5557399.9,,,,,,,,,,8136878.6,8548705.5,51.3,53.9,13057810.3,13387640.8,82.4,84.5,-0.24915601107438665,3.0,,,42.3743604937819,-71.1324933747351,POINT (-71.1324933747351 42.3743604937819)
B1175,2022,136-2,Yes,Non-Residential,386737,1.0,19 Prescott Street,1963.0,333-2,1,College/University,College/University (60035.0),60035.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.440674968868319,1676768.1,,,,,,,,,2098490.8,4791789.8,,8567048.8,8925298.3,142.7,148.7,12369297.5,12818303.0,206.0,213.5,-0.21227657576519943,9.1,-0.32427940224621277,5.59,42.373606051735,-71.1142818034103,POINT (-71.1142818034103 42.373606051735)
B1089,2022,8-86,Yes,Non-Residential,100062,,100 Cambridge Side Place,1990.0,468-7,1,Enclosed Mall,Enclosed Mall (396082.0),396082.0,,"NW CAMBRIDGE PROPERTY OWNER LLC,",,,2.853159054283436,34437691.4,-0.19584586755569952,1804979.4,,,,,,,,,,36242670.8,36402050.9,91.5,91.9,98320764.2,98271961.1,248.2,248.1,0.8663807674386599,6.5,0.9281152706526885,26.98,42.3687995894841,-71.0769083308282,POINT (-71.0769083308282 42.3687995894841)
B1050,2022,"138-2, 138-33",Yes,Municipal,155818,1.0,449 Broadway,2009.0,328-8,1,Library,"Library (102752.0),Parking (17434.0)",120185.0,,CAMBRIDGE CITY OF,,,-0.1544976564725672,4523127.0,0.05223452677232298,7670400.2,,,,,,,,,65998.4,12418713.6,12656447.6,120.9,123.2,20943862.3,21033237.7,203.8,204.7,-0.1133846609978094,7.1,0.23689147121548207,48.4,42.3739779494308,-71.1104674033331,POINT (-71.1104674033331 42.3739779494308)
B1632,2022,257-47,Yes,Residential,85123,57.0,6 Fresh Pond Place,1979.0,"245-2, 245-3, 245-4, 245-6, 245-9, 245-11, 245-38, 245-50",8,Multifamily Housing,Multifamily Housing (57875.0),57875.0,57.0,Condo building,,100.0,-0.496061616324141,1125885.0,-0.2567800312644357,364300.0,,,,,,,,,,1490185.0,1477213.7,25.7,25.5,3534992.9,3498673.2,61.1,60.5,-0.44868592578162464,1.7,-0.3391747457404307,3.67,42.3799499682172,-71.1534603209881,POINT (-71.1534603209881 42.3799499682172)
B1845,2022,267F-286,No,Residential,542125,525.0,53-55 Wheeler Street,,"76-5, 76-6",2,,,,,"TB WHEELER APARTMENTS LLC,",,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3912188023762,-71.1445990719556,POINT (-71.1445990719556 42.3912188023762)
B1095,2022,55-27,No,Non-Residential,159235,466.0,125  VASSAR ST,1964.0,703-2,1,College/University,College/University (186998.0),186998.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,,,,,,,,,,,,,,,,,,,,,,-0.5020208910494305,0.0,,,42.35879926002,-71.0981605501182,POINT (-71.0981605501182 42.35879926002)
B1621,2022,172-59,Yes,Non-Residential,31457,0.0,27 Garden St.,1889.0,252-30,1,College/University,College/University (32300.0),32300.0,,BARD COLLEGE LONGY SCHOOL OF MUSIC,,,-0.5510240508542003,579221.1,-0.23775978150750243,814000.0,,,,,,,,,,1393221.1,1491848.0,43.1,46.2,2476519.1,2563710.5,76.7,79.4,-0.4574163516439143,2.6,-0.3606404966411153,1.08,42.3786025626887,-71.1234566785866,POINT (-71.1234566785866 42.3786025626887)
B1210,2022,144-1,Yes,Non-Residential,2402868,15.0,20 Divinity Ave,1887.0,241-22,1,College/University,College/University (13708.0),13708.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.5874221442316722,217200.9,-0.2721797931868271,200.0,,,,,,,,651400.0,,868800.9,896054.8,63.4,65.4,1392033.5,1431646.2,101.5,104.4,-0.4709617396484364,4.3,-0.36255232789382563,1.4,42.3791857903928,-71.114217875037,POINT (-71.114217875037 42.3791857903928)
B1195,2022,156-26,Yes,Residential,69317,148.0,5 Mellen Street,2007.0,226-38,1,Residence Hall/Dormitory,Residence Hall/Dormitory (4600.0),4600.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.6001146388806166,90959.7,-0.2691725889223887,71305.0,,,,,,,,,,162264.7,162264.7,35.3,35.3,329557.3,329557.3,71.6,71.6,-0.49662390051637867,2.2,-0.34679787035566817,32.49,42.380996327189,-71.11914348929,POINT (-71.11914348929 42.380996327189)
B1538,2022,196-163,Yes,Non-Residential,25442,1.0,2270 Massachusetts Ave,1905.0,56-3,1,Worship Facility,Worship Facility (5000.0),5000.0,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,1.0,-0.5808006010371332,283059.5,,,,1007703.0,,,,,,,,1290762.6,281227.6,258.2,56.2,1810346.7,787437.1,362.1,157.5,-0.4515960677357212,19.1,-0.3506215328610889,23.56,42.3942254584083,-71.1274287832755,POINT (-71.1274287832755 42.3942254584083)
B1139,2022,164-5,Yes,Non-Residential,182389,,19 Eliot Street,2017.0,398-8,1,College/University,College/University (102899.0),102899.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,-0.18246857449089332,4244924.2,-0.24969724046102001,531762.0,,,,,,,,3618279.7,93438.0,8713776.3,8870950.1,84.7,86.2,17115887.4,17230263.2,166.3,167.4,-0.18888961678864175,5.8,-0.09821140671211515,21.42,42.371378692834,-71.122302574611,POINT (-71.122302574611 42.371378692834)
B1742,2022,267.3-226,Yes,Non-Residential,35151,1.0,13 Mooney Street,1954.0,48-9,1,Manufacturing/Industrial Plant,"Parking (4500.0),Manufacturing/Industrial Plant (34570.0)",34570.0,,"CCF ASVRF 13 MOONEY, LLC","C/O CABOT, CABOT & FORBES",,-0.5456121285536708,633048.8,-0.2098025097945095,1475000.0,,,,,,,,,,2108048.8,2257051.5,61.0,65.3,3321286.7,3469146.2,96.1,100.4,-0.43683371127766774,3.6,-0.3457330529490954,4.58,42.3947542340284,-71.1509223993764,POINT (-71.1509223993764 42.3947542340284)
B1797,2022,92-124,Yes,Residential,76782,60.0,70 Brookline St,2000.0,665-4,1,Multifamily Housing,Multifamily Housing (19156.0),19156.0,15.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,-0.5832629982400489,258568.2,-0.23689737792168106,834387.7,,,,,,,,,,1092955.9,1159602.2,57.1,60.5,1600098.0,1670076.6,83.5,87.2,-0.4688981844446225,3.3,-0.28046458600530033,36.42,42.3622668781743,-71.1024652737322,POINT (-71.1024652737322 42.3622668781743)
B1503,2022,165-57,Yes,Non-Residential,77239,,112 Mt Auburn St,1912.0,380-7,1,Other - Restaurant/Bar,Other - Restaurant/Bar (20800.0),20800.0,,CONDUCTOR'S BUILDING LLC,,,,,1.537567152915244,42788451.4,,,,,,,,,,43153269.7,,2074.7,,45949365.1,,2209.1,,0.7141538874034641,110.5,,,42.3727422687211,-71.1222854056464,POINT (-71.1222854056464 42.3727422687211)
B1252,2022,157-69,Yes,Non-Residential,1462119,18.0,22 Everett Street,1950.0,253-8,1,Residence Hall/Dormitory,Residence Hall/Dormitory (18917.0),18917.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,78.0,-0.5818014087272677,273105.5,-0.2628849519891761,219962.0,,,,,,,,847220.0,,1340287.5,1417469.2,70.9,74.9,2014895.9,2106832.8,106.5,111.4,-0.4558290014871344,4.6,-0.31711608514745,20.87,42.3797130377767,-71.1173661655638,POINT (-71.1173661655638 42.3797130377767)
B1664,2022,119-8,Yes,Residential,108104,88.0,872 Massachusetts Ave,1902.0,539-2,1,Multifamily Housing,"Multifamily Housing (108104.0),Parking (17312.0)",108104.0,88.0,CAMBRIDGE TOWER CORPORATION,,76.0,-0.456060217326721,1523744.6,0.010148893420891132,6675355.1,,,,,,,,,,8199099.7,8702348.0,75.8,80.5,11275607.7,11749362.7,104.3,108.7,-0.25614035176421834,4.3,0.005705092011153588,28.33,42.367380010239,-71.1078946970841,POINT (-71.1078946970841 42.367380010239)
