Reporting ID,Data Year,MapLot,Annual Report Received,BEUDO Category,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Latitude,Longitude,Location
B1264,2022,144-1,Yes,Non-Residential,2402868,15,24 Oxford St,1931,241-21,1,Laboratory,Laboratory (219498.0),219498,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,6284771.5,21443642.9,56.2,5617,,,,,,,20244281.6,10493609.7,,52187151.2,51809587.5,237.8,236,91094638,90969467.8,415,414.4,3283.3,15,3007.7,13.7,42.3787827063636,-71.1136521107175,POINT (-71.1136521107175 42.3787827063636)
B1589,2022,14-45,Yes,Non-Residential,280848,2,650 E Kendall Street,2009,620-88,1,Office,"Office (328136.0),Parking (278000.0)",328136,,"BMR KENDALL DEVELOPMENT, LLC",C/O RYAN LLC,43,5170330.9,17641171.2,1210,121000,,,,,,,,24140833.1,,41903004.3,42449796.4,127.7,129.4,78564743.7,78510659.1,239.4,239.3,2859.2,8.7,6844.4,20.86,42.3644700507158,-71.080631213876,POINT (-71.080631213876 42.3644700507158)
B1760,2022,92-130,Yes,Residential,103484,83,84 Auburn St,1990,665-7,1,Multifamily Housing,Multifamily Housing (15441.0),15441,14,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,91063,310707,6573.8,657383.2,,,,,,,,,,968090.2,1003703.1,62.7,65,1560231.9,1597625.5,101,103.5,56.9,3.7,1029,66.64,42.3619685372833,-71.103050181673,POINT (-71.103050181673 42.3619685372833)
B1697,2022,30-41,Yes,Non-Residential,173400,1,300 Binney Street,2013,591-23,1,Office,Office (204215.0),204215,,BP SEVENTEEN CAMBRIDGE CENTER LLC.,"C/O BOSTON PROPERTIES, INC.",80,1842895,6287958.6,,,,,,,,,,8079373.2,,14367331.8,14387182.6,70.4,70.5,27326102,27075402.6,133.8,132.6,991.2,4.9,1324.7,6.49,42.3660092596514,-71.0879953112854,POINT (-71.0879953112854 42.3660092596514)
B1317,2022,16-34,Yes,Residential,135900,136,50 Rogers St,2019,600-3,1,Multifamily Housing,"Multifamily Housing (105566.0),Parking (0.0)",105566,136,AIMCO 50 ROGERS STREET LLC,,12,1207926.9,4121447.2,44687.8,4468781,,,,,,,,,,8590228.1,8922135.4,81.4,84.5,16232272,16580774.7,153.8,157.1,535.4,5.1,3531,33.45,42.3656322405246,-71.0788094305057,POINT (-71.0788094305057 42.3656322405246)
B1319,2022,41-38,Yes,Non-Residential,240964,,One Kendall Square,1988,557-6,1,Office,"Office (14572.0),Other - Restaurant/Bar (12123.0)",26695,,ARE-MA REGION NO. 59 LLC,,,732307.7,2498634.1,16517.2,1651718.3,,,,,,,,,,4150352.3,4222063.2,155.5,158.2,8730479.6,8805776,327,329.9,268.4,10.1,1212.4,45.41,42.3663937634796,-71.0914361587548,POINT (-71.0914361587548 42.3663937634796)
B1470,2022,52A-21,Yes,Non-Residential,3691096,0,21  AMES ST,1965,668-56,1,College/University,College/University (143682.0),143682,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3614573.6,12332926.6,82,8200,,,,,,,18270073.9,38234267.8,,68845468.2,69391029.8,479.2,482.9,97163967,98281642.1,676.2,684,4375.8,30.5,1846.3,12.85,42.3606996030097,-71.0898606876886,POINT (-71.0898606876886 42.3606996030097)
B1351,2022,9-61,Yes,Non-Residential,152877,236,25 Edwin H Land Blvd.,2003,468-10,1,Hotel,"Hotel (153627.0),Parking (1492.0)",153627,,"CAMBRIDGE, LLC","C/O JUNSON CAPITAL, UNITS 5211-12, 52/F",40,2312572.9,7890499.6,117247,11724700.1,,,,,,,,,,19615199.8,20090460.4,127.7,130.8,34404334.1,34776181.2,223.9,226.4,1193.4,7.8,5163,33.61,42.3679473831175,-71.0751292649638,POINT (-71.0751292649638 42.3679473831175)
B1556,2022,33-88,Yes,Non-Residential,30520,1,89 Fulkerson Street,1940,467-7,1,Data Center,Data Center (30520.0),30520,,"LAVERTY, CHARLES R., JR. & PAUL LOHNES,",TRS. OF THE PAY PHONE REALTY TRUST,,3136597.7,10702072.7,,,,,,,,,,,,10702072.7,10702072.7,350.7,350.7,29965803.6,29965803.6,981.8,981.8,758.3,24.8,31.4,1.03,42.3695080581725,-71.0878876767907,POINT (-71.0878876767907 42.3695080581725)
B1154,2022,227-90,Yes,Non-Residential,177958,2,60 Garden St,1960,"201-12, 201-13, 201-15, 201-17, 201-18",5,College/University,College/University (80995.0),80995,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,1149308.5,3921441.1,73435.8,7343577.4,,,,,,,,,,11265018.5,11693408.9,139.1,144.4,18690791.4,19140601.3,230.8,236.3,667.9,8.2,1120.6,13.84,42.3815430445496,-71.1278886121175,POINT (-71.1278886121175 42.3815430445496)
B1205,2022,159-1,Yes,Non-Residential,1223988,1027,N/A Harvard Yard,1973,318-8,1,College/University,College/University (92625.0),92625,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,841702,2871887.5,,,,,,,,,1507669.5,0,,4379557,4295325.1,47.3,46.4,9413264.3,9336613.2,101.6,100.8,282.9,3.1,254.2,2.74,42.3731185822052,-71.1155641964063,POINT (-71.1155641964063 42.3731185822052)
B1106,2022,133-33,Yes,Non-Residential,60054,3,1100 Massachusetts Avenue,1978,439-14,1,Office,"Office (44663.0),Parking (5499.0),Other (4645.0)",49308,,SUN LIFE ASSURANCE CO OF CANADA,C/O BENTALL KENNEDY (US) LP,48,422442,1441372.1,16214,1621399.9,,,,,,,,,,3062772.1,3233850.7,62.1,65.6,5738311.9,5859636.4,116.4,118.8,188.2,3.8,166.8,3.38,42.3703967979961,-71.1137063794924,POINT (-71.1137063794924 42.3703967979961)
B1903,2022,91-207,Yes,Residential,214398,225,425 Massachusetts Avenue,2020,"623-9, 632-10",2,Multifamily Housing,Multifamily Housing (223523.0),223523,285,"WATERMARK CENTRAL LLC,",,100,1022279.9,3488019.6,29636,2963599.9,,,,,,,,,,6451619.5,6740855.3,28.9,30.2,12878234.8,13313660.6,57.6,59.6,409.6,1.8,1992.2,8.91,42.3638469564058,-71.1004361412838,POINT (-71.1004361412838 42.3638469564058)
B1487,2022,52A-21,Yes,Non-Residential,3691096,0,182  MEMORIAL DR,1916,668-2,1,College/University,College/University (121650.0),121650,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,5161939.3,17612539,,,,,,,,,11116655.7,15664086.2,,44393280.9,44154996.1,364.9,363,78275805.2,78221935.7,643.5,643,2873.8,23.6,1707.4,14.04,42.3588136201429,-71.0901806640038,POINT (-71.0901806640038 42.3588136201429)
B1027,2022,126-174,Yes,Municipal,10173,1,12 Gilmore Street,1924,630-34,1,Other - Recreation,Other - Recreation (10537.0),10537,,CAMBRIDGE CITY OF,,,30066.7,102587.5,3261.5,326152.9,,,,,,,,,,428740.4,458000.4,40.7,43.5,629705.5,655997.3,59.8,62.3,24.7,2.3,,,42.3640274931656,-71.1112414446206,POINT (-71.1112414446206 42.3640274931656)
B1600,2022,70-22,Yes,Non-Residential,57000,1,730 Main Street,1910,655-2,1,Office,Office (38000.0),38000,,MIT 730 MAIN ST FEE OWNER LLC,,,152907.5,521720.5,,,,,,,,,,,,521720.5,521720.5,13.7,13.7,1460817.4,1460817.4,38.4,38.4,37.7,1,204.2,5.37,42.36287574688,-71.0955675382426,POINT (-71.0955675382426 42.36287574688)
B1737,2022,81-105,Yes,Residential,109656,112,14 Roosevelt Towers,1950,"354-4, 354-5, 354-6, 354-7",4,Multifamily Housing,Multifamily Housing (134884.0),134884,112,CAMBRIDGE HOUSING AUTHORITY,,99,588239.9,2007074.9,32324,3232400,,,,,,,,,,5239474.9,5239474.9,38.8,38.8,9013829.8,9013829.8,66.8,66.8,313.9,2.3,5308.9,39.36,42.3732041106239,-71.0923864547531,POINT (-71.0923864547531 42.3732041106239)
B1072,2022,67-66,Yes,Non-Residential,44988,1,269 Albany Street,1950,714-4,1,Laboratory,Laboratory (39120.0),39120,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,1409459.9,4809077.8,34824.1,3482414.8,,,,,,,,,,8291492.7,8291492.7,212,212,17121953.5,17121953.5,437.7,437.7,532.7,13.6,164.7,4.21,42.3579667778473,-71.1028547989369,POINT (-71.1028547989369 42.3579667778473)
B1296,2022,161-58,Yes,Non-Residential,461676,,101 Dunster St,1931,"437-2, 437-12, 437-13",3,Residence Hall/Dormitory,Residence Hall/Dormitory (218775.0),218775,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,1153157.4,3934573.4,10387.4,1038745,,,,,,,,10687980.2,,15661298.5,16380027.8,71.6,74.9,24965567.1,25830227.9,114.1,118.1,1043.6,4.8,5041.5,23.04,42.3704737327172,-71.1202599038539,POINT (-71.1202599038539 42.3704737327172)
B1611,2022,95-79,Yes,Non-Residential,25182,1,116 Brookline St,1921,"694-1, 694-2",2,Office,Office (25182.0),25182,,"LEDGEMOOR, LLC",,73,230907.9,787857.9,5264.8,526480.7,,,,,,,,,,1314338.5,1386189.8,52.2,55,2758806.8,2834250.6,109.6,112.6,83.8,3.3,53,2.11,42.3608983142428,-71.1039011364785,POINT (-71.1039011364785 42.3608983142428)
B1042,2022,92-57,Yes,Municipal,10553,1,378 Massachusetts Avenue,1893,644-7,1,Fire Station,Fire Station (19080.0),19080,,CAMBRIDGE CITY OF,FIRE DEPT,,71502.8,243967.5,4805.1,480513.6,,,,,,,,,,724481.1,775302.4,38,40.6,1187648.2,1236310.6,62.2,64.8,43.2,2.3,162.4,8.51,42.3629709003464,-71.1001666332726,POINT (-71.1001666332726 42.3629709003464)
B1572,2022,58-95,Yes,Residential,100796,120,320  MEMORIAL DR,1963,728-3,1,College/University,College/University (138589.0),138589,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1069529.9,3649236.6,,,,,,,,,,8395014.1,,12044250.8,12044250.8,86.9,86.9,20317409.5,20317409.5,146.6,146.6,816,5.9,6059.2,43.72,42.3571815110219,-71.094420934122,POINT (-71.094420934122 42.3571815110219)
B1409,2022,57-169,Yes,Non-Residential,185430,,84  MASSACHUSETTS AVE,1965,708-18,1,College/University,College/University (183162.0),183162,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2643086.8,9018213.2,4948,494800,,,,,,,9695400.1,13042061.7,,32250474.9,31973960.2,176.1,174.6,50283487.1,50217113.6,274.5,274.2,2042.2,11.1,2081.8,11.37,42.3590406766834,-71.0947738419229,POINT (-71.0947738419229 42.3590406766834)
B1882,2022,241-10,Yes,Residential,110299,80,1010 Memorial Drive,1963,330-6,1,Multifamily Housing,"Multifamily Housing (158508.0),Parking (27001.0)",158508,83,1010 MEMORIAL DRIVE TENANTS CORPORATION,,97,756001.9,2579478.7,55574,5557399.9,,,,,,,,,,8136878.6,8548705.5,51.3,53.9,13057810.3,13387640.8,82.4,84.5,477.9,3,,,42.3743604937819,-71.1324933747351,POINT (-71.1324933747351 42.3743604937819)
B1175,2022,136-2,Yes,Non-Residential,386737,1,19 Prescott Street,1963,333-2,1,College/University,College/University (60035.0),60035,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,491432.6,1676768.1,,,,,,,,,2098490.8,4791789.8,,8567048.8,8925298.3,142.7,148.7,12369297.5,12818303,206,213.5,547.6,9.1,335.5,5.59,42.373606051735,-71.1142818034103,POINT (-71.1142818034103 42.373606051735)
B1089,2022,8-86,Yes,Non-Residential,100062,,100 Cambridge Side Place,1990,468-7,1,Enclosed Mall,Enclosed Mall (396082.0),396082,,"NW CAMBRIDGE PROPERTY OWNER LLC,",,,10093108.8,34437691.4,18049.8,1804979.4,,,,,,,,,,36242670.8,36402050.9,91.5,91.9,98320764.2,98271961.1,248.2,248.1,2586.2,6.5,10685.7,26.98,42.3687995894841,-71.0769083308282,POINT (-71.0769083308282 42.3687995894841)
B1050,2022,"138-2, 138-33",Yes,Municipal,155818,1,449 Broadway,2009,328-8,1,Library,"Library (102752.0),Parking (17434.0)",120185,,CAMBRIDGE CITY OF,,,1325652.5,4523127,76704,7670400.2,,,,,,,,,65998.4,12418713.6,12656447.6,120.9,123.2,20943862.3,21033237.7,203.8,204.7,734.5,7.1,4973.2,48.4,42.3739779494308,-71.1104674033331,POINT (-71.1104674033331 42.3739779494308)
B1632,2022,257-47,Yes,Residential,85123,57,6 Fresh Pond Place,1979,"245-2, 245-3, 245-4, 245-6, 245-9, 245-11, 245-38, 245-50",8,Multifamily Housing,Multifamily Housing (57875.0),57875,57,Condo building,,100,329978,1125885,3643,364300,,,,,,,,,,1490185,1477213.7,25.7,25.5,3534992.9,3498673.2,61.1,60.5,100.8,1.7,212.4,3.67,42.3799499682172,-71.1534603209881,POINT (-71.1534603209881 42.3799499682172)
B1845,2022,267F-286,No,Residential,542125,525,53-55 Wheeler Street,,"76-5, 76-6",2,,,,,"TB WHEELER APARTMENTS LLC,",,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3912188023762,-71.1445990719556,POINT (-71.1445990719556 42.3912188023762)
B1095,2022,55-27,No,Non-Residential,159235,466,125  VASSAR ST,1964,703-2,1,College/University,College/University (186998.0),186998,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,,,,,,,,,,,,,,,,,,,,,,0,0,,,42.35879926002,-71.0981605501182,POINT (-71.0981605501182 42.35879926002)
B1621,2022,172-59,Yes,Non-Residential,31457,0,27 Garden St.,1889,252-30,1,College/University,College/University (32300.0),32300,,BARD COLLEGE LONGY SCHOOL OF MUSIC,,,169760,579221.1,8140,814000,,,,,,,,,,1393221.1,1491848,43.1,46.2,2476519.1,2563710.5,76.7,79.4,84.3,2.6,35,1.08,42.3786025626887,-71.1234566785866,POINT (-71.1234566785866 42.3786025626887)
B1210,2022,144-1,Yes,Non-Residential,2402868,15,20 Divinity Ave,1887,241-22,1,College/University,College/University (13708.0),13708,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,63657.9,217200.9,2,200,,,,,,,,651400,,868800.9,896054.8,63.4,65.4,1392033.5,1431646.2,101.5,104.4,58.7,4.3,19.2,1.4,42.3791857903928,-71.114217875037,POINT (-71.114217875037 42.3791857903928)
B1195,2022,156-26,Yes,Residential,69317,148,5 Mellen Street,2007,226-38,1,Residence Hall/Dormitory,Residence Hall/Dormitory (4600.0),4600,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,26658.7,90959.7,713,71305,,,,,,,,,,162264.7,162264.7,35.3,35.3,329557.3,329557.3,71.6,71.6,10.2,2.2,149.4,32.49,42.380996327189,-71.11914348929,POINT (-71.11914348929 42.380996327189)
B1538,2022,196-163,Yes,Non-Residential,25442,1,2270 Massachusetts Ave,1905,56-3,1,Worship Facility,Worship Facility (5000.0),5000,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,1,82960,283059.5,,,,1007703,,,,,,,,1290762.6,281227.6,258.2,56.2,1810346.7,787437.1,362.1,157.5,95.3,19.1,117.8,23.56,42.3942254584083,-71.1274287832755,POINT (-71.1274287832755 42.3942254584083)
B1139,2022,164-5,Yes,Non-Residential,182389,,19 Eliot Street,2017,398-8,1,College/University,College/University (102899.0),102899,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,1244116,4244924.2,5317.6,531762,,,,,,,,3618279.7,93438,8713776.3,8870950.1,84.7,86.2,17115887.4,17230263.2,166.3,167.4,591.8,5.8,2203.8,21.42,42.371378692834,-71.122302574611,POINT (-71.122302574611 42.371378692834)
B1742,2022,267.3-226,Yes,Non-Residential,35151,1,13 Mooney Street,1954,48-9,1,Manufacturing/Industrial Plant,"Parking (4500.0),Manufacturing/Industrial Plant (34570.0)",34570,,"CCF ASVRF 13 MOONEY, LLC","C/O CABOT, CABOT & FORBES",,185536,633048.8,14750,1475000,,,,,,,,,,2108048.8,2257051.5,61,65.3,3321286.7,3469146.2,96.1,100.4,123.2,3.6,158.2,4.58,42.3947542340284,-71.1509223993764,POINT (-71.1509223993764 42.3947542340284)
B1797,2022,92-124,Yes,Residential,76782,60,70 Brookline St,2000,665-4,1,Multifamily Housing,Multifamily Housing (19156.0),19156,15,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,75782,258568.2,8343.9,834387.7,,,,,,,,,,1092955.9,1159602.2,57.1,60.5,1600098,1670076.6,83.5,87.2,62.6,3.3,697.6,36.42,42.3622668781743,-71.1024652737322,POINT (-71.1024652737322 42.3622668781743)
B1503,2022,165-57,Yes,Non-Residential,77239,,112 Mt Auburn St,1912,380-7,1,Other - Restaurant/Bar,Other - Restaurant/Bar (20800.0),20800,,CONDUCTOR'S BUILDING LLC,,,,,427884.5,42788451.4,,,,,,,,,,43153269.7,,2074.7,,45949365.1,,2209.1,,2298.5,110.5,,,42.3727422687211,-71.1222854056464,POINT (-71.1222854056464 42.3727422687211)
B1252,2022,157-69,Yes,Non-Residential,1462119,18,22 Everett Street,1950,253-8,1,Residence Hall/Dormitory,Residence Hall/Dormitory (18917.0),18917,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,78,80042.6,273105.5,2199.6,219962,,,,,,,,847220,,1340287.5,1417469.2,70.9,74.9,2014895.9,2106832.8,106.5,111.4,87.3,4.6,394.7,20.87,42.3797130377767,-71.1173661655638,POINT (-71.1173661655638 42.3797130377767)
B1664,2022,119-8,Yes,Residential,108104,88,872 Massachusetts Ave,1902,539-2,1,Multifamily Housing,"Multifamily Housing (108104.0),Parking (17312.0)",108104,88,CAMBRIDGE TOWER CORPORATION,,76,446583.9,1523744.6,66753.6,6675355.1,,,,,,,,,,8199099.7,8702348,75.8,80.5,11275607.7,11749362.7,104.3,108.7,464.7,4.3,3062.6,28.33,42.367380010239,-71.1078946970841,POINT (-71.1078946970841 42.367380010239)
B1232,2022,160-14,Yes,Non-Residential,304349,,Massachusetts Avenue 1350,1966,357-6,1,Financial Office,Financial Office (28346.0),28346,,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,90,221158.8,754594,6718,671801,,,,,,,264922,,,1691316.9,1743360,59.7,61.5,3059333.2,3145255.9,107.9,111,103.1,3.6,,,42.3726498456433,-71.1186477233665,POINT (-71.1186477233665 42.3726498456433)
B1897,2022,18-75,Yes,Municipal,12571,0,51 First Street,1988,505-2,1,Office,Office (1274.0),1274,,CAMBRIDGE CITY OF,COMM. DEV.,6,39916.4,136194.6,,,,,,,,,,,,136194.6,144937,106.9,113.8,381344.9,405823.5,299.3,318.5,0,0,18,14.11,42.3690116721712,-71.0781014182006,POINT (-71.0781014182006 42.3690116721712)
B1498,2022,52A-21,Yes,Non-Residential,3691096,0,21  AMES ST,1964,668-54,1,College/University,College/University (129397.0),129397,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2640479.6,9009317.5,27,2700,,,,,,,3701796,14930969.9,,27644783.5,28226040.1,213.6,218.1,46560128.9,47299246.7,359.8,365.5,1824.9,14.1,1659.3,12.82,42.3603228441634,-71.0893249457601,POINT (-71.0893249457601 42.3603228441634)
B1850,2022,32-52,No,Non-Residential,37324,0,135 Fulkerson Street,,467-8,1,,,,,NSTAR ELECTRIC CO. D/B/A,EVERSOURCE ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3688497287194,-71.0879635305433,POINT (-71.0879635305433 42.3688497287194)
B1852,2022,1A-184,No,Non-Residential,34388,0,11 Education Street,,409-6,1,,,,,COMMONWEALTH OF MASSACHUSETTS,PUBLIC WORKS DEPT.,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3708401337567,-71.0688154979779,POINT (-71.0688154979779 42.3708401337567)
B1480,2022,47-83,Yes,Non-Residential,191428,1,70  MEMORIAL DR,1980,696-1,1,College/University,College/University (107991.0),107991,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1259453.7,4297256.7,1707,170700,,,,,,,4438344.1,8177706,,17084006.8,17158770.3,158.2,158.9,26088563.2,26323227.2,241.6,243.8,1090.4,10.1,306.7,2.84,42.3605494499005,-71.0844985221795,POINT (-71.0844985221795 42.3605494499005)
B1357,2022,64-6,Yes,Non-Residential,265495,2,640 Memorial Drive,1916,749-2,1,Laboratory,"Office (56436.0),Laboratory (169309.0)",225745,,MIT 640 MEMORIAL SPE LLC.,C/O MIT INVESTMENT MANAGEMENT COMP.,,4744558.4,16188435.1,293205.2,29320525,,,,,,,,,,45508960,46285087.4,201.6,205,76114169.4,76045923.1,337.2,336.9,2728,12.1,4670.5,20.69,42.3542549538569,-71.1095888993524,POINT (-71.1095888993524 42.3542549538569)
